topic,word,weight
Topic 1,ai,532.3937885783342
Topic 1,前端,402.32345946220624
Topic 1,程序员,300.04806699429736
Topic 1,需要,241.97964702797583
Topic 1,可以,225.35595815196808
Topic 1,技术,195.0540851220307
Topic 1,不是,163.5728360280146
Topic 1,确实,152.85502594935156
Topic 1,了解,127.37089513194822
Topic 1,业务,118.93074982186437
Topic 2,ai,1311.039112363428
Topic 2,代码,567.2765978886539
Topic 2,程序员,427.80296036500846
Topic 2,可以,401.074942430338
Topic 2,这个,277.8160688303743
Topic 2,需求,265.3828920420985
Topic 2,编程,244.28067546859825
Topic 2,不是,242.24844357173743
Topic 2,工具,199.9114736828462
Topic 2,gpt,195.74533481477985
Topic 3,他们,576.8798841335204
Topic 3,工作,545.1705076848027
Topic 3,人工智能,457.0988205365142
Topic 3,公司,443.31351856652304
Topic 3,如果,289.3524515297806
Topic 3,使用,202.2346939134299
Topic 3,职位,198.08729645370977
Topic 3,任何,157.332347645775
Topic 3,经验,150.5200653833458
Topic 3,认为,129.9626849726509
Topic 4,什么,169.36461193163765
Topic 4,需要,139.62551418972143
Topic 4,这些,131.72476707453794
Topic 4,工作,129.07219821042682
Topic 4,可以,116.20532342946973
Topic 4,时间,114.93252160276843
Topic 4,面试,103.93115725051054
Topic 4,机会,87.46570002105163
Topic 4,项目,85.54166712907258
Topic 4,纳米,81.2520593707286
