topic,word,weight
Topic 1,ai,1506.2953136093606
Topic 1,代码,522.5138556339746
Topic 1,可以,408.476406804839
Topic 1,一个,404.4240101322434
Topic 1,自己,316.39067960594286
Topic 1,问题,313.2835099381288
Topic 1,现在,310.39661367714416
Topic 1,需要,278.74396501372115
Topic 1,程序员,249.7963291378557
Topic 1,需求,242.92030963269409
Topic 2,回复,508.06255767046315
Topic 2,doge,261.31772997167815
Topic 2,什么,117.78287744945597
Topic 2,纳米,81.2523310542355
Topic 2,吃瓜,78.59780279423549
Topic 2,金箍,66.40904689771195
Topic 2,算法,66.10401199852612
Topic 2,ai,55.687939358851864
Topic 2,就是,54.137005354126046
Topic 2,这样,50.5084048892133
Topic 3,the,2117.0131622358394
Topic 3,to,1900.7263715212587
Topic 3,and,1567.6856453024934
Topic 3,it,1468.9371416304043
Topic 3,you,1069.6504476974535
Topic 3,of,929.2286386814479
Topic 3,is,884.9624562309606
Topic 3,that,856.9352979962274
Topic 3,in,825.2057638658499
Topic 3,for,744.8422800236871
Topic 4,程序员,453.875478781999
Topic 4,前端,394.5707864945637
Topic 4,ai,226.09531104710018
Topic 4,现在,188.31343372729137
Topic 4,取代,180.69423859761787
Topic 4,公司,172.61611511180172
Topic 4,一个,166.80288331765385
Topic 4,工作,160.78231737715313
Topic 4,可能,139.0943279391638
Topic 4,怎么,115.70202451716148
