word,count
the,1854
to,1794
AI,1417
and,1410
you,890
of,876
it,857
is,817
ai,764
that,736
in,731
程序员,704
for,667
代码,546
可以,511
be,432
with,425
have,423
前端,420
are,411
not,367
on,363
they,361
but,346
or,339
can,333
不是,331
需要,328
IT,327
doge,312
这个,296
as,296
will,282
job,262
what,257
工作,251
需求,246
do,235
an,235
my,234
your,229
get,226
we,225
什么,224
It,220
people,219
at,217
替代,213
如果,213
取代,209
this,206
if,203
work,201
编程,200
just,198
不会,185
up,184
like,182
me,181
more,181
don,179
已经,177
很多,177
开发,175
项目,173
was,173
公司,172
how,172
from,166
know,162
生成,160
about,160
all,159
so,159
re,159
不能,157
who,157
业务,156
只是,152
The,151
直接,150
东西,149
模型,149
years,147
能力,145
out,145
产品,144
简单,139
人类,138
工具,138
目前,137
理解,136
experience,135
no,134
一样,133
would,132
一些,129
think,129
完全,128
技术,128
